1	5	17	3
2	3	20	24
3	2	4	1
4	6	3	22
5	9	1	7
6	7	4	28
7	6	8	5
8	10	7	26
9	13	5	11
10	11	8	32
11	10	12	9
12	14	11	30
13	17	9	15
14	15	12	36
15	14	16	13
16	18	15	34
17	1	13	19
18	19	16	40
19	18	20	17
20	2	19	38
21	60	42	23
22	23	41	4
23	22	24	21
24	57	23	2
25	44	46	27
26	27	45	8
27	26	28	25
28	41	27	6
29	48	50	31
30	31	49	12
31	30	32	29
32	45	31	10
33	52	54	35
34	35	53	16
35	34	36	33
36	49	35	14
37	56	58	39
38	39	57	20
39	38	40	37
40	53	39	18
41	28	22	43
42	43	21	64
43	42	44	41
44	25	43	62
45	32	26	47
46	47	25	68
47	46	48	45
48	29	47	66
49	36	30	51
50	51	29	72
51	50	52	49
52	33	51	70
53	40	34	55
54	55	33	76
55	54	56	53
56	37	55	74
57	24	38	59
58	59	37	80
59	58	60	57
60	21	59	78
61	77	65	63
62	63	68	44
63	62	64	61
64	78	63	42
65	61	69	67
66	67	72	48
67	66	68	65
68	62	67	46
69	65	73	71
70	71	76	52
71	70	72	69
72	66	71	50
73	69	77	75
74	75	80	56
75	74	76	73
76	70	75	54
77	73	61	79
78	79	64	60
79	78	80	77
80	74	79	58
