1	5	17	3	7	9	13	19	2	4
2	3	20	24	4	1	19	38	57	23
3	2	4	1	20	24	22	6	5	17
4	6	3	22	28	7	1	2	23	41
5	9	1	7	11	13	17	3	6	8
6	7	4	28	8	5	3	22	41	27
7	6	8	5	4	28	26	10	9	1
8	10	7	26	32	11	5	6	27	45
9	13	5	11	15	17	1	7	10	12
10	11	8	32	12	9	7	26	45	31
11	10	12	9	8	32	30	14	13	5
12	14	11	30	36	15	9	10	31	49
13	17	9	15	19	1	5	11	14	16
14	15	12	36	16	13	11	30	49	35
15	14	16	13	12	36	34	18	17	9
16	18	15	34	40	19	13	14	35	53
17	1	13	19	3	5	9	15	18	20
18	19	16	40	20	17	15	34	53	39
19	18	20	17	16	40	38	2	1	13
20	2	19	38	24	3	17	18	39	57
21	60	42	23	59	78	64	43	22	24
22	23	41	4	24	21	43	28	6	3
23	22	24	21	41	4	2	57	60	42
24	57	23	2	38	59	21	22	3	20
25	44	46	27	43	62	68	47	26	28
26	27	45	8	28	25	47	32	10	7
27	26	28	25	45	8	6	41	44	46
28	41	27	6	22	43	25	26	7	4
29	48	50	31	47	66	72	51	30	32
30	31	49	12	32	29	51	36	14	11
31	30	32	29	49	12	10	45	48	50
32	45	31	10	26	47	29	30	11	8
33	52	54	35	51	70	76	55	34	36
34	35	53	16	36	33	55	40	18	15
35	34	36	33	53	16	14	49	52	54
36	49	35	14	30	51	33	34	15	12
37	56	58	39	55	74	80	59	38	40
38	39	57	20	40	37	59	24	2	19
39	38	40	37	57	20	18	53	56	58
40	53	39	18	34	55	37	38	19	16
41	28	22	43	27	6	4	23	42	44
42	43	21	64	44	41	23	60	78	63
43	42	44	41	21	64	62	25	28	22
44	25	43	62	46	27	41	42	63	68
45	32	26	47	31	10	8	27	46	48
46	47	25	68	48	45	27	44	62	67
47	46	48	45	25	68	66	29	32	26
48	29	47	66	50	31	45	46	67	72
49	36	30	51	35	14	12	31	50	52
50	51	29	72	52	49	31	48	66	71
51	50	52	49	29	72	70	33	36	30
52	33	51	70	54	35	49	50	71	76
53	40	34	55	39	18	16	35	54	56
54	55	33	76	56	53	35	52	70	75
55	54	56	53	33	76	74	37	40	34
56	37	55	74	58	39	53	54	75	80
57	24	38	59	23	2	20	39	58	60
58	59	37	80	60	57	39	56	74	79
59	58	60	57	37	80	78	21	24	38
60	21	59	78	42	23	57	58	79	64
61	77	65	63	79	73	69	67	62	64
62	63	68	44	64	61	67	46	25	43
63	62	64	61	68	44	42	78	77	65
64	78	63	42	60	79	61	62	43	21
65	61	69	67	63	77	73	71	66	68
66	67	72	48	68	65	71	50	29	47
67	66	68	65	72	48	46	62	61	69
68	62	67	46	44	63	65	66	47	25
69	65	73	71	67	61	77	75	70	72
70	71	76	52	72	69	75	54	33	51
71	70	72	69	76	52	50	66	65	73
72	66	71	50	48	67	69	70	51	29
73	69	77	75	71	65	61	79	74	76
74	75	80	56	76	73	79	58	37	55
75	74	76	73	80	56	54	70	69	77
76	70	75	54	52	71	73	74	55	33
77	73	61	79	75	69	65	63	78	80
78	79	64	60	80	77	63	42	21	59
79	78	80	77	64	60	58	74	73	61
80	74	79	58	56	75	77	78	59	37
